Show HN: Sonauto – A more controllable AI music creator: https://sonauto.ai/
Aider: AI pair programming in your terminal: https://github.com/paul-gauthier/aider
Libgourou: A Free Implementation of Adobe's Adept DRM on ePub/PDF Files: https://forge.soutade.fr/soutade/libgourou
Implementation of Google's Griffin Architecture – RNN LLM: https://github.com/google-deepmind/recurrentgemma
Code search is hard: https://blog.val.town/blog/search-notes/
Oh My Git: An open source game about learning Git: https://ohmygit.org/
MixRank (YC S11) Is Hiring Global Remote Software Engineers: https://news.ycombinator.com/item?id=39997376
Nimble: A new columnar file format by Meta [video]: https://www.youtube.com/watch?v=bISBNVtXZ6M
Why Can't My Mom Email Me?: https://matduggan.com/why-cant-my-mom-email-me/
The Alice and Bob After Dinner Speech (1984): https://urbigenous.net/library/alicebob.html
